,agemid,low95,median,up95,,,,,,
1,37,0.000840419,0.004543133,0.032273684,,,,,,
2,41,0.000840419,0.004543133,0.032273684,,,,,,
3,53,0.000840419,0.004543133,0.032273684,,,,,,
4,57,0.000840419,0.004543133,0.032273684,,,,,,
5,59,0.000840419,0.004543133,0.032273684,,,,,,
6,82,0.000840419,0.004543133,0.032273684,,,,,,
7,85,0.000840419,0.004543133,0.032273684,,,,,,
8,94,0.001348672,0.009658061,0.088728269,,,,,,
9,97,0.001348672,0.009658061,0.088728269,,,,,,
10,100,0.001348672,0.009658061,0.088728269,,,,,,
11,102,0.001348672,0.009658061,0.088728269,,,,,,
12,106,0.001348672,0.009658061,0.088728269,,,,,,
13,110,0.001348672,0.009658061,0.088728269,,,,,,
14,137,0.001348672,0.009658061,0.088728269,,,,,,
15,140,0.001348672,0.009658061,0.088728269,,,,,,
16,142,0.001348672,0.009658061,0.088728269,,,,,,
17,150,0.001348672,0.009658061,0.088728269,,,,,,
18,155,0.001348672,0.009658061,0.088728269,,,,,,
19,158,0.001348672,0.009658061,0.088728269,,,,,,
20,159,0.001348672,0.009658061,0.088728269,,,,,,
21,196,0.00103499,0.005275706,0.042565852,,,,,,
22,202,0.00103499,0.005275706,0.042565852,,,,,,
23,208,0.00103499,0.005275706,0.042565852,,,,,,
24,214,0.00103499,0.005275706,0.042565852,,,,,,
25,215,0.00103499,0.005275706,0.042565852,,,,,,
26,216,0.00103499,0.005275706,0.042565852,,,,,,
27,226,0.00103499,0.005275706,0.042565852,,,,,,
28,257,0.00103499,0.005275706,0.042565852,,,,,,
29,258,0.00103499,0.005275706,0.042565852,,,,,,
30,264,0.00103499,0.005275706,0.042565852,,,,,,
31,267,0.00103499,0.005275706,0.042565852,,,,,,
32,273,0.00103499,0.005275706,0.042565852,,,,,,
33,276,0.000213052,0.001236424,0.003985919,,,,,,
34,297,0.000213052,0.001236424,0.003985919,,,,,,
35,321,0.000213052,0.001236424,0.003985919,,,,,,
36,325,0.000213052,0.001236424,0.003985919,,,,,,
37,328,0.000213052,0.001236424,0.003985919,,,,,,
38,329,0.000213052,0.001236424,0.003985919,,,,,,
39,337,0.000213052,0.001236424,0.003985919,,,,,,
40,338,0.000213052,0.001236424,0.003985919,,,,,,
41,359,0.000213052,0.001236424,0.003985919,,,,,,
42,363,0.000213052,0.001236424,0.003985919,,FOI due to contacts,,Prop due to contacts,,Increase per year
43,370,0.000888051,0.004799205,0.032416152,,0.000256072,,0.053357099,,1.056364548
44,372,0.000888051,0.004799205,0.032416152,,,,,,
45,375,0.000888051,0.004799205,0.032416152,,,,,,
46,376,0.000888051,0.004799205,0.032416152,,,,,,
47,407,0.000888051,0.004799205,0.032416152,,,,,,
48,428,0.000888051,0.004799205,0.032416152,,,,,,
49,444,0.000888051,0.004799205,0.032416152,,,,,,
50,455,0.000888051,0.004799205,0.032416152,,,,,,
51,462,0.001491101,0.009952343,0.089018429,,,,,,
52,464,0.001491101,0.009952343,0.089018429,,,,,,
53,507,0.001491101,0.009952343,0.089018429,,,,,,
54,509,0.001491101,0.009952343,0.089018429,,,,,,
55,510,0.001491101,0.009952343,0.089018429,,,,,,
56,524,0.001491101,0.009952343,0.089018429,,,,,,
57,530,0.001491101,0.009952343,0.089018429,,,,,,
58,531,0.001491101,0.009952343,0.089018429,,,,,,
59,534,0.001491101,0.009952343,0.089018429,,,,,,
60,554,0.001166452,0.005529833,0.042672552,,,,,,
61,555,0.001166452,0.005529833,0.042672552,,,,,,
62,573,0.001166452,0.005529833,0.042672552,,,,,,
63,574,0.001166452,0.005529833,0.042672552,,,,,,
64,585,0.001166452,0.005529833,0.042672552,,,,,,
65,586,0.001166452,0.005529833,0.042672552,,,,,,
66,588,0.001166452,0.005529833,0.042672552,,,,,,
67,626,0.001166452,0.005529833,0.042672552,,,,,,
68,627,0.001166452,0.005529833,0.042672552,,,,,,
69,629,0.001166452,0.005529833,0.042672552,,,,,,
70,632,0.001166452,0.005529833,0.042672552,,,,,,
71,644,0.00025848,0.001451062,0.004646662,,,,,,
72,653,0.00025848,0.001451062,0.004646662,,,,,,
73,654,0.00025848,0.001451062,0.004646662,,,,,,
74,680,0.00025848,0.001451062,0.004646662,,,,,,
75,693,0.00025848,0.001451062,0.004646662,,,,,,
76,713,0.00025848,0.001451062,0.004646662,,,,,,
77,715,0.00025848,0.001451062,0.004646662,,,,,,
78,728,0.00025848,0.001451062,0.004646662,,Prop due to contacts,,Increase per year,,
79,749,0.000935145,0.005101613,0.03255862,,0.109471295,,1.063012226,,
80,760,0.000935145,0.005101613,0.03255862,,,,,,
81,772,0.000935145,0.005101613,0.03255862,,,,,,
82,825,0.001599275,0.010155256,0.089308589,,,,,,
83,837,0.001599275,0.010155256,0.089308589,,,,,,
84,867,0.001599275,0.010155256,0.089308589,,,,,,
85,884,0.001599275,0.010155256,0.089308589,,,,,,
86,967,0.00137983,0.005976393,0.042975764,,,,,,
87,984,0.00137983,0.005976393,0.042975764,,,,,,
88,1010,0.000296294,0.001795768,0.005584929,,,,,,
89,1013,0.000296294,0.001795768,0.005584929,,,,,,
90,1014,0.000296294,0.001795768,0.005584929,,,,,,
91,1042,0.000296294,0.001795768,0.005584929,,,,,,
92,1047,0.000296294,0.001795768,0.005584929,,,,,,
93,1061,0.000296294,0.001795768,0.005584929,,,,,,
94,1120,0.001046148,0.005894519,0.033245967,,,,,,
95,1141,0.001046148,0.005894519,0.033245967,,,,,,
96,1148,0.001046148,0.005894519,0.033245967,,,,,,
97,1158,0.001046148,0.005894519,0.033245967,,,,,,
98,1176,0.001046148,0.005894519,0.033245967,,,,,,
99,1202,0.001915777,0.011034357,0.090179069,,,,,,
100,1230,0.001915777,0.011034357,0.090179069,,,,,,
101,1242,0.001915777,0.011034357,0.090179069,,,,,,
102,1334,0.001585753,0.007503311,0.044641139,,,,,,
103,1340,0.001585753,0.007503311,0.044641139,,,,,,
104,1377,0.000427444,0.002699341,0.00955262,,,,,,
105,1389,0.000427444,0.002699341,0.00955262,,,,,,
106,1414,0.000427444,0.002699341,0.00955262,,,,,,
107,1450,0.000427444,0.002699341,0.00955262,,,,,,
108,1523,0.001163625,0.006592686,0.033648485,,,,,,
109,1526,0.001163625,0.006592686,0.033648485,,,,,,
110,1537,0.001163625,0.006592686,0.033648485,,,,,,
111,1541,0.001163625,0.006592686,0.033648485,,,,,,
112,1551,0.001163625,0.006592686,0.033648485,,,,,,
113,1564,0.002083968,0.011956053,0.09042697,,,,,,
114,1592,0.002083968,0.011956053,0.09042697,,,,,,
115,1667,0.001571978,0.007330705,0.044626253,,,,,,
116,1721,0.001571978,0.007330705,0.044626253,,,,,,
117,1755,0.000417447,0.002629311,0.009203526,,,,,,
118,1760,0.000417447,0.002629311,0.009203526,,,,,,
119,1806,0.000417447,0.002629311,0.009203526,,,,,,
120,1823,0.000417447,0.002629311,0.009203526,,,,,,
121,1841,0.001149908,0.006462276,0.033612273,,,,,,
122,1848,0.001149908,0.006462276,0.033612273,,,,,,
